"Row","Col","ControlType","ProbeName","SystematicName","logFC","AveExpr","t","P.Value","adj.P.Val","B"
40,156,0,"A_33_P3279590","NM_033014",-4.78996124721112,9.03555617619092,-16.2572536646513,2.75706777087882e-16,1.30135252893164e-11,26.7063697674116
193,40,0,"A_23_P82990","NM_033014",-5.56023668912795,9.68140761025957,-16.012137901465,4.13285228954407e-16,1.30135252893164e-11,26.3348468755336
263,162,0,"A_23_P113351","NM_004684",-3.47424560660124,13.0985849061766,-15.2749124989865,1.43962856617688e-15,2.27623460870349e-11,25.18291948621
376,4,0,"A_23_P113351","NM_004684",-3.48179383718293,13.1129763222032,-15.0027109988177,2.30981417584733e-15,2.27623460870349e-11,24.7440696974128
135,117,0,"A_23_P113351","NM_004684",-3.44458576245147,13.4020950089595,-14.9930348349866,2.34924946063714e-15,2.27623460870349e-11,24.7283316481644
10,138,0,"A_23_P113351","NM_004684",-3.50434863628847,13.167171319294,-14.8254864718465,3.15370646888067e-15,2.27623460870349e-11,24.4542992752419
355,23,0,"A_23_P111701","NM_004126",-3.37149248769905,12.2403190268807,-14.8099703356048,3.24131592194875e-15,2.27623460870349e-11,24.428775954251
262,161,0,"A_23_P113351","NM_004684",-3.46318695023352,13.1185717510841,-14.8086192399556,3.24906230502147e-15,2.27623460870349e-11,24.4265522876628
327,156,0,"A_23_P113351","NM_004684",-3.4720851361275,13.1286959820366,-14.8079331963873,3.2530029659444e-15,2.27623460870349e-11,24.4254231079881
65,28,0,"A_23_P113351","NM_004684",-3.46110456109318,13.2016484217154,-14.6678796949675,4.17009979120385e-15,2.46490643748533e-11,24.1938824312877
123,132,0,"A_23_P113351","NM_004684",-3.49574068398104,13.2307825659347,-14.6221242309625,4.52435099440382e-15,2.46490643748533e-11,24.1177949964009
28,150,0,"A_23_P113351","NM_004684",-3.50115479726559,13.1201057807413,-14.6011627148351,4.6968491567937e-15,2.46490643748533e-11,24.0828645023652
142,97,0,"A_23_P113351","NM_004684",-3.41582903118412,13.5495312919916,-14.515579335666,5.47444856925755e-15,2.53395514511539e-11,23.9397677639616
96,102,0,"A_23_P111701","NM_004126",-3.39291850753393,12.4652261613826,-14.4996566986209,5.63315739831292e-15,2.53395514511539e-11,23.9130595758462
339,49,0,"A_23_P111701","NM_004126",-3.38633938417839,12.3417233071044,-14.3625879611311,7.21151611650748e-15,3.0276829263545e-11,23.6820308457565
169,84,0,"A_23_P111701","NM_004126",-3.41108414307804,12.6457328427346,-14.2758808549001,8.43894631812936e-15,3.27620577598025e-11,23.5348498376262
291,157,0,"A_23_P111701","NM_004126",-3.3822091793293,12.1422690222523,-14.2065166544819,9.57463734805839e-15,3.27620577598025e-11,23.4165248477949
199,46,0,"A_23_P111701","NM_004126",-3.41737201765386,12.4582410108062,-14.1916035045423,9.8387042181266e-15,3.27620577598025e-11,23.3910172902824
141,89,0,"A_23_P111701","NM_004126",-3.38192360190509,12.6127948601083,-14.1890654702875,9.88438607463553e-15,3.27620577598025e-11,23.3866738187265
350,163,0,"A_23_P111701","NM_004126",-3.37601805404165,12.1342458212193,-14.144601885422,1.07210709652488e-14,3.37585082553755e-11,23.3104675379952
7,79,0,"A_23_P111701","NM_004126",-3.38560281322974,12.3561748463961,-14.0907149156235,1.18336146226245e-14,3.54873197368762e-11,23.2178221483123
100,143,0,"A_23_P303671","NM_001393",-3.51786284120307,9.10392033544777,-13.9713218353785,1.47421601412968e-14,4.22001035026504e-11,23.0114233072902
128,9,0,"A_23_P91334","NM_052970",-2.23338642029121,8.17908036710703,-13.9166592906767,1.63103089043778e-14,4.46590440679173e-11,22.916402809212
160,159,0,"A_23_P111701","NM_004126",-3.39920472846189,12.1398213583558,-13.8897300076094,1.71449849217683e-14,4.49884404347201e-11,22.869469828606
105,9,0,"A_23_P329353","NM_015463",-3.06658509346329,9.16704558244002,-13.8311186560359,1.91170376703981e-14,4.81565825732396e-11,22.7670423476373
88,51,0,"A_33_P3342305","NM_007168",-3.34448413520818,8.16759917926551,-13.7930161914929,2.05229020400414e-14,4.9709626110525e-11,22.7002504427216
230,109,0,"A_23_P43276","NM_032777",-2.64420205803045,10.0318302056068,-13.737989023902,2.27435103462678e-14,5.3047974354317e-11,22.6035039057384
195,128,0,"A_23_P335452","NM_153367",-2.65869768631342,8.66587273440088,-13.489233321632,3.63261771468083e-14,8.170276185705e-11,22.1618923745519
114,50,0,"A_23_P12884","NM_005308",-3.02058739404008,10.0844944224102,-13.4414832784527,3.97713199662004e-14,8.63668498686701e-11,22.0763175617761
332,80,0,"A_33_P3226212","NM_001270408",-3.37368517521081,9.66919482885497,-13.070311566417,8.10882580526813e-14,1.70220471304188e-10,21.4021378726491
44,160,0,"A_24_P396702","NM_014880",-2.54313585528972,9.2864787093117,-13.030905570597,8.75334951131645e-14,1.77822883491827e-10,21.3296169218138
382,48,0,"A_23_P360964","NM_145056",-3.56893563990247,10.165334961271,-12.9127496912255,1.10205227983546e-13,2.16883888671619e-10,21.1110663085311
18,119,0,"A_23_P320739","NM_002397",-1.92133422407513,9.49474940575014,-12.6653101847998,1.79389572610278e-13,3.42340537112268e-10,20.6479754544514
199,116,0,"A_23_P83028","NM_021111",-2.50847220994926,9.32114254662877,-12.6130694917464,1.98994414279983e-13,3.68584477461652e-10,20.5492604193661
